graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
2.0,Graph with 9 nodes and 21 edges,"[[0, 1, 1, 1, 1, 0, 0, 1, 0], [1, 0, 1, 1, 1, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 0]]",10.0,4.0,Y,"{0: 18, 1: 38, 2: 30, 3: 14, 4: 22, 5: 42, 6: 34, 7: 10, 8: 26}",Y,"{0: 18, 1: 38, 2: 30, 3: 14, 4: 22, 5: 42, 6: 34, 7: 10, 8: 26}","{(0, 1): 1, (0, 2): 10, (0, 3): 1, (0, 4): 3, (0, 7): 3, (1, 2): 15, (1, 3): 1, (1, 4): 6, (1, 5): 1, (1, 6): 13, (1, 7): 1, (2, 4): 1, (2, 5): 1, (2, 7): 1, (2, 8): 2, (3, 4): 11, (3, 8): 1, (4, 7): 1, (5, 6): 17, (5, 8): 23, (6, 7): 4}",30.994415283203125,21.0,9.0,42.0
2.0,Graph with 9 nodes and 21 edges,"[[0, 1, 1, 1, 1, 0, 0, 1, 0], [1, 0, 1, 1, 1, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 0, 0, 0]]",28.0,3.0,Y,"{0: 49, 1: 28, 2: 46, 3: 31, 4: 43, 5: 52, 6: 34, 7: 37, 8: 40}",Y,"{0: 49, 1: 28, 2: 46, 3: 31, 4: 43, 5: 52, 6: 34, 7: 37, 8: 40}","{(0, 1): 3, (0, 2): 11, (0, 3): 13, (0, 4): 9, (0, 7): 13, (1, 2): 1, (1, 3): 1, (1, 4): 4, (1, 5): 5, (1, 6): 13, (1, 7): 1, (2, 4): 11, (2, 5): 4, (2, 7): 11, (2, 8): 8, (3, 4): 16, (3, 8): 1, (4, 7): 3, (5, 6): 12, (5, 8): 31, (6, 7): 9}",63.18092346191406,21.0,9.0,42.0
3.0,Graph with 9 nodes and 19 edges,"[[0, 1, 0, 0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 1, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 1, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 1, 0, 0, 0]]",28.0,9.0,Y,"{0: 37, 1: 91, 2: 82, 3: 46, 4: 73, 5: 100, 6: 55, 7: 28, 8: 64}",Y,"{0: 37, 1: 91, 2: 82, 3: 46, 4: 73, 5: 100, 6: 55, 7: 28, 8: 64}","{(0, 1): 1, (0, 5): 14, (0, 6): 22, (1, 4): 69, (1, 5): 19, (1, 6): 1, (1, 8): 1, (2, 5): 20, (2, 6): 1, (2, 8): 61, (3, 4): 1, (3, 5): 44, (3, 6): 1, (4, 5): 1, (4, 6): 1, (4, 8): 1, (5, 6): 1, (5, 8): 1, (6, 7): 28}",238.89541625976562,19.0,9.0,38.0
4.0,Graph with 9 nodes and 17 edges,"[[0, 0, 1, 1, 1, 1, 0, 1, 0], [0, 0, 1, 0, 1, 0, 0, 1, 0], [1, 1, 0, 1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 1, 1, 1, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 1, 0, 1, 0, 0]]",16.0,1.0,Y,"{0: 23, 1: 20, 2: 17, 3: 16, 4: 24, 5: 21, 6: 22, 7: 19, 8: 18}",Y,"{0: 23, 1: 20, 2: 17, 3: 16, 4: 24, 5: 21, 6: 22, 7: 19, 8: 18}","{(0, 2): 4, (0, 3): 2, (0, 4): 2, (0, 5): 12, (0, 7): 3, (1, 2): 7, (1, 4): 2, (1, 7): 11, (2, 3): 3, (2, 4): 1, (2, 8): 2, (3, 4): 3, (3, 6): 8, (4, 5): 9, (4, 7): 5, (4, 8): 2, (6, 8): 14}",37.90855407714844,17.0,9.0,34.0
5.0,Graph with 9 nodes and 20 edges,"[[0, 1, 1, 1, 1, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 1, 1, 1], [1, 0, 1, 0, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 0], [0, 1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0]]",6.0,2.0,Y,"{0: 22, 1: 20, 2: 18, 3: 16, 4: 14, 5: 12, 6: 10, 7: 8, 8: 6}",Y,"{0: 22, 1: 20, 2: 18, 3: 16, 4: 14, 5: 12, 6: 10, 7: 8, 8: 6}","{(0, 1): 13, (0, 2): 1, (0, 3): 1, (0, 4): 5, (0, 6): 1, (0, 8): 1, (1, 5): 6, (1, 7): 1, (2, 3): 5, (2, 4): 4, (2, 6): 1, (2, 7): 4, (2, 8): 3, (3, 6): 7, (3, 7): 1, (3, 8): 2, (4, 5): 4, (4, 7): 1, (5, 6): 1, (5, 7): 1}",36.95487976074219,20.0,9.0,40.0
7.0,Graph with 9 nodes and 23 edges,"[[0, 1, 1, 1, 1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1, 1, 0], [1, 1, 1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 1, 0, 1, 1], [0, 1, 1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0]]",6.0,4.0,Y,"{0: 18, 1: 34, 2: 30, 3: 26, 4: 6, 5: 38, 6: 22, 7: 10, 8: 14}",Y,"{0: 18, 1: 34, 2: 30, 3: 26, 4: 6, 5: 38, 6: 22, 7: 10, 8: 14}","{(0, 1): 1, (0, 2): 9, (0, 3): 5, (0, 4): 1, (0, 8): 2, (1, 3): 1, (1, 5): 20, (1, 6): 1, (1, 7): 1, (1, 8): 10, (2, 3): 16, (2, 5): 1, (2, 6): 1, (2, 7): 3, (3, 5): 1, (3, 6): 1, (3, 7): 1, (3, 8): 1, (4, 6): 1, (4, 7): 4, (5, 6): 16, (6, 7): 1, (6, 8): 1}",726.9382476806641,23.0,9.0,46.0
7.0,Graph with 9 nodes and 23 edges,"[[0, 1, 1, 1, 1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1, 1, 0], [1, 1, 1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 1, 0, 1, 1], [0, 1, 1, 1, 1, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0]]",20.0,6.0,Y,"{0: 26, 1: 32, 2: 38, 3: 44, 4: 50, 5: 56, 6: 62, 7: 68, 8: 20}",Y,"{0: 26, 1: 32, 2: 38, 3: 44, 4: 50, 5: 56, 6: 62, 7: 68, 8: 20}","{(0, 1): 18, (0, 2): 3, (0, 3): 3, (0, 4): 1, (0, 8): 1, (1, 3): 1, (1, 5): 3, (1, 6): 7, (1, 7): 2, (1, 8): 1, (2, 3): 1, (2, 5): 3, (2, 6): 16, (2, 7): 15, (3, 5): 33, (3, 6): 1, (3, 7): 4, (3, 8): 1, (4, 6): 3, (4, 7): 46, (5, 6): 17, (6, 7): 1, (6, 8): 17}",39.10064697265625,23.0,9.0,46.0
8.0,Graph with 9 nodes and 22 edges,"[[0, 1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 0, 1, 0, 1, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 1, 1, 1, 0]]",6.0,1.0,Y,"{0: 14, 1: 13, 2: 12, 3: 11, 4: 10, 5: 9, 6: 8, 7: 7, 8: 6}",Y,"{0: 14, 1: 13, 2: 12, 3: 11, 4: 10, 5: 9, 6: 8, 7: 7, 8: 6}","{(0, 1): 6, (0, 2): 7, (0, 8): 1, (1, 2): 1, (1, 5): 4, (1, 6): 1, (1, 7): 1, (2, 4): 1, (2, 5): 1, (2, 7): 1, (2, 8): 1, (3, 4): 6, (3, 5): 1, (3, 6): 4, (4, 7): 2, (4, 8): 1, (5, 6): 1, (5, 7): 1, (5, 8): 1, (6, 7): 1, (6, 8): 1, (7, 8): 1}",21.93450927734375,22.0,9.0,44.0
8.0,Graph with 9 nodes and 22 edges,"[[0, 1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 0, 1, 0, 1, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 1, 1, 1, 0]]",18.0,7.0,Y,"{0: 25, 1: 32, 2: 39, 3: 46, 4: 53, 5: 60, 6: 67, 7: 74, 8: 18}",Y,"{0: 25, 1: 32, 2: 39, 3: 46, 4: 53, 5: 60, 6: 67, 7: 74, 8: 18}","{(0, 1): 11, (0, 2): 13, (0, 8): 1, (1, 2): 1, (1, 5): 1, (1, 6): 18, (1, 7): 1, (2, 4): 22, (2, 5): 1, (2, 7): 1, (2, 8): 1, (3, 4): 1, (3, 5): 1, (3, 6): 44, (4, 7): 17, (4, 8): 13, (5, 6): 3, (5, 7): 53, (5, 8): 1, (6, 7): 1, (6, 8): 1, (7, 8): 1}",828.0277252197266,22.0,9.0,44.0
8.0,Graph with 9 nodes and 22 edges,"[[0, 1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 0, 1, 0, 1, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 1, 1, 1, 0]]",24.0,8.0,Y,"{0: 32, 1: 40, 2: 48, 3: 56, 4: 64, 5: 72, 6: 80, 7: 88, 8: 24}",Y,"{0: 32, 1: 40, 2: 48, 3: 56, 4: 64, 5: 72, 6: 80, 7: 88, 8: 24}","{(0, 1): 30, (0, 2): 1, (0, 8): 1, (1, 2): 1, (1, 5): 7, (1, 6): 1, (1, 7): 1, (2, 4): 43, (2, 5): 1, (2, 7): 1, (2, 8): 1, (3, 4): 1, (3, 5): 54, (3, 6): 1, (4, 7): 1, (4, 8): 19, (5, 6): 1, (5, 7): 8, (5, 8): 1, (6, 7): 76, (6, 8): 1, (7, 8): 1}",24.080276489257812,22.0,9.0,44.0
