graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
1.0,Graph with 12 nodes and 29 edges,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0], [0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1], [0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1], [0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0], [0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]]",18.0,1.0,Y,"{0: 29, 1: 28, 2: 27, 3: 26, 4: 25, 5: 24, 6: 23, 7: 22, 8: 21, 9: 20, 10: 19, 11: 18}","{(0, 1): 15, (0, 11): 14, (1, 3): 11, (1, 5): 1, (1, 11): 1, (2, 3): 10, (2, 4): 5, (2, 9): 1, (2, 10): 11, (3, 6): 1, (3, 8): 1, (3, 9): 1, (3, 10): 1, (3, 11): 1, (4, 5): 18, (4, 7): 1, (4, 11): 1, (5, 6): 1, (5, 7): 1, (5, 8): 1, (5, 9): 1, (5, 10): 1, (6, 7): 17, (6, 8): 3, (6, 11): 1, (7, 10): 3, (8, 9): 15, (8, 10): 1, (9, 10): 2}",1243.1144714355469,173.0,36.0,490.0
2.0,Graph with 12 nodes and 33 edges,"[[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1], [1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1], [0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]]",4.0,1.0,Y,"{0: 15, 1: 14, 2: 13, 3: 12, 4: 11, 5: 10, 6: 4, 7: 9, 8: 8, 9: 7, 10: 5, 11: 6}","{(0, 1): 1, (0, 2): 1, (0, 4): 6, (0, 5): 5, (0, 8): 1, (0, 10): 1, (1, 4): 2, (1, 7): 6, (1, 8): 1, (1, 9): 3, (1, 11): 1, (2, 3): 7, (2, 5): 1, (2, 7): 2, (2, 8): 1, (2, 11): 1, (3, 4): 1, (3, 5): 1, (3, 8): 1, (3, 9): 1, (3, 11): 1, (4, 5): 1, (4, 6): 1, (5, 8): 1, (5, 11): 1, (6, 8): 1, (6, 10): 1, (6, 11): 1, (7, 9): 1, (8, 9): 1, (8, 10): 1, (9, 10): 1, (10, 11): 1}",766.0388946533203,177.0,36.0,498.0
3.0,Graph with 12 nodes and 37 edges,"[[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0], [0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1], [1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0], [1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0]]",11.0,7.0,Y,"{0: 18, 1: 25, 2: 32, 3: 39, 4: 46, 5: 53, 6: 60, 7: 67, 8: 74, 9: 81, 10: 88, 11: 11}","{(0, 1): 14, (0, 5): 1, (0, 8): 1, (0, 9): 1, (0, 10): 1, (1, 4): 7, (1, 5): 1, (1, 9): 1, (1, 10): 1, (1, 11): 1, (2, 3): 26, (2, 4): 1, (2, 6): 1, (2, 7): 1, (2, 9): 1, (2, 10): 1, (2, 11): 1, (3, 4): 10, (3, 7): 1, (3, 8): 1, (3, 10): 1, (4, 6): 24, (4, 8): 1, (4, 9): 1, (4, 10): 1, (4, 11): 1, (5, 9): 9, (5, 10): 37, (5, 11): 5, (6, 9): 25, (6, 10): 9, (6, 11): 1, (7, 8): 28, (7, 10): 36, (7, 11): 1, (8, 9): 43, (10, 11): 1}",1776.9336700439453,181.0,36.0,506.0
5.0,Graph with 12 nodes and 28 edges,"[[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1], [1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1], [0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0], [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]]",18.0,7.0,Y,"{0: 25, 1: 32, 2: 39, 3: 46, 4: 53, 5: 60, 6: 67, 7: 74, 8: 81, 9: 88, 10: 95, 11: 18}","{(0, 1): 22, (0, 4): 1, (0, 10): 1, (0, 11): 1, (1, 5): 7, (1, 6): 1, (1, 7): 1, (1, 10): 1, (2, 4): 35, (2, 5): 1, (2, 6): 1, (2, 8): 1, (2, 9): 1, (3, 4): 2, (3, 7): 1, (3, 8): 42, (3, 11): 1, (4, 6): 11, (4, 7): 3, (4, 10): 1, (5, 7): 3, (5, 10): 44, (5, 11): 5, (6, 7): 54, (7, 9): 1, (7, 11): 11, (8, 9): 38, (9, 10): 48}",1341.8197631835938,172.0,36.0,488.0
6.0,Graph with 12 nodes and 37 edges,"[[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",28.0,2.0,Y,"{0: 50, 1: 48, 2: 46, 3: 44, 4: 42, 5: 40, 6: 38, 7: 36, 8: 34, 9: 32, 10: 30, 11: 28}","{(0, 1): 40, (0, 5): 1, (0, 7): 1, (0, 9): 1, (0, 10): 1, (0, 11): 6, (1, 3): 1, (1, 4): 1, (1, 5): 1, (1, 7): 1, (1, 8): 1, (1, 9): 1, (1, 10): 1, (1, 11): 1, (2, 3): 1, (2, 5): 1, (2, 6): 11, (2, 7): 1, (2, 9): 7, (2, 10): 25, (3, 5): 1, (3, 7): 11, (3, 8): 30, (4, 5): 16, (4, 6): 1, (4, 7): 2, (4, 9): 22, (5, 6): 1, (5, 7): 18, (5, 10): 1, (6, 7): 1, (6, 8): 1, (6, 9): 1, (6, 10): 1, (6, 11): 21, (7, 8): 1, (8, 10): 1}",972.9862213134766,181.0,36.0,506.0
6.0,Graph with 12 nodes and 37 edges,"[[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], [0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]",28.0,8.0,Y,"{0: 100, 1: 60, 2: 92, 3: 44, 4: 116, 5: 28, 6: 108, 7: 84, 8: 36, 9: 68, 10: 76, 11: 52}","{(0, 1): 1, (0, 5): 1, (0, 7): 1, (0, 9): 1, (0, 10): 46, (0, 11): 50, (1, 3): 1, (1, 4): 1, (1, 5): 1, (1, 7): 52, (1, 8): 1, (1, 9): 1, (1, 10): 1, (1, 11): 1, (2, 3): 1, (2, 5): 1, (2, 6): 70, (2, 7): 3, (2, 9): 1, (2, 10): 16, (3, 5): 1, (3, 7): 23, (3, 8): 18, (4, 5): 21, (4, 6): 28, (4, 7): 2, (4, 9): 64, (5, 6): 1, (5, 7): 1, (5, 10): 1, (6, 7): 1, (6, 8): 5, (6, 9): 1, (6, 10): 1, (6, 11): 1, (7, 8): 1, (8, 10): 11}",1309.1564178466797,181.0,36.0,506.0
7.0,Graph with 12 nodes and 30 edges,"[[0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0], [0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0], [1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",7.0,2.0,Y,"{0: 9, 1: 11, 2: 13, 3: 15, 4: 17, 5: 19, 6: 21, 7: 23, 8: 25, 9: 27, 10: 29, 11: 7}","{(0, 2): 4, (0, 3): 1, (0, 5): 1, (0, 7): 1, (0, 8): 1, (0, 9): 1, (1, 4): 6, (1, 6): 1, (1, 7): 1, (1, 8): 1, (1, 9): 1, (1, 11): 1, (2, 7): 9, (3, 4): 7, (3, 5): 5, (3, 9): 1, (3, 10): 1, (4, 7): 1, (4, 8): 1, (4, 9): 1, (4, 10): 1, (5, 6): 9, (5, 8): 2, (5, 9): 1, (5, 10): 1, (6, 9): 11, (7, 8): 5, (7, 11): 6, (8, 10): 15, (9, 10): 11}",1343.9655303955078,174.0,36.0,492.0
7.0,Graph with 12 nodes and 30 edges,"[[0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0], [0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0], [0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0], [1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]]",29.0,6.0,Y,"{0: 35, 1: 41, 2: 47, 3: 53, 4: 59, 5: 65, 6: 71, 7: 77, 8: 83, 9: 89, 10: 95, 11: 29}","{(0, 2): 30, (0, 3): 1, (0, 5): 1, (0, 7): 1, (0, 8): 1, (0, 9): 1, (1, 4): 36, (1, 6): 1, (1, 7): 1, (1, 8): 1, (1, 9): 1, (1, 11): 1, (2, 7): 17, (3, 4): 19, (3, 5): 31, (3, 9): 1, (3, 10): 1, (4, 7): 1, (4, 8): 1, (4, 9): 1, (4, 10): 1, (5, 6): 29, (5, 8): 2, (5, 9): 1, (5, 10): 1, (6, 9): 41, (7, 8): 29, (7, 11): 28, (8, 10): 49, (9, 10): 43}",1181.1256408691406,174.0,36.0,492.0
10.0,Graph with 12 nodes and 41 edges,"[[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1], [0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0], [1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0], [1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1], [1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1], [0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]]",16.0,4.0,Y,"{0: 56, 1: 28, 2: 36, 3: 24, 4: 48, 5: 52, 6: 60, 7: 32, 8: 16, 9: 44, 10: 20, 11: 40}","{(0, 2): 1, (0, 3): 1, (0, 4): 16, (0, 6): 1, (0, 7): 1, (0, 8): 1, (0, 9): 1, (0, 11): 34, (1, 3): 16, (1, 4): 9, (1, 8): 1, (1, 9): 1, (1, 10): 1, (2, 5): 32, (2, 7): 2, (2, 11): 1, (3, 4): 1, (3, 5): 1, (3, 6): 1, (3, 7): 1, (3, 8): 1, (3, 9): 1, (3, 11): 1, (4, 5): 16, (4, 6): 4, (4, 7): 1, (4, 9): 1, (5, 7): 1, (5, 10): 1, (5, 11): 1, (6, 7): 23, (6, 8): 10, (6, 9): 20, (6, 11): 1, (7, 8): 1, (7, 9): 1, (7, 10): 1, (8, 9): 1, (8, 11): 1, (9, 10): 17, (9, 11): 1}",1653.909683227539,185.0,36.0,514.0
13.0,Graph with 12 nodes and 32 edges,"[[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0], [0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0], [0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]]",9.0,9.0,Y,"{0: 18, 1: 27, 2: 36, 3: 45, 4: 54, 5: 63, 6: 72, 7: 81, 8: 90, 9: 99, 10: 9, 11: 108}","{(0, 3): 15, (0, 4): 1, (0, 6): 1, (0, 11): 1, (1, 2): 23, (1, 6): 1, (1, 9): 1, (1, 10): 1, (1, 11): 1, (2, 3): 10, (2, 4): 1, (2, 5): 1, (2, 7): 1, (3, 4): 15, (3, 5): 1, (3, 6): 1, (3, 7): 1, (3, 8): 1, (3, 11): 1, (4, 5): 23, (4, 6): 1, (4, 8): 1, (4, 9): 12, (5, 6): 37, (5, 11): 1, (6, 8): 1, (6, 10): 6, (6, 11): 24, (7, 11): 79, (8, 9): 86, (8, 10): 1, (10, 11): 1}",1379.9667358398438,176.0,36.0,496.0
