graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,7.0,Y,"{0: 23, 1: 2, 2: 16, 3: 9}",Y,"{0: 23, 1: 2, 2: 16, 3: 9}","{(0, 2): 16, (0, 3): 7, (1, 3): 2}",245.09429931640625,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,5.0,Y,"{0: 13, 1: 8, 2: 3, 3: 18}",Y,"{0: 13, 1: 8, 2: 3, 3: 18}","{(0, 2): 3, (0, 3): 10, (1, 3): 8}",221.9676971435547,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,1.0,Y,"{0: 7, 1: 4, 2: 5, 3: 6}",Y,"{0: 7, 1: 4, 2: 5, 3: 6}","{(0, 2): 5, (0, 3): 2, (1, 3): 4}",118.97087097167969,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",4.0,5.0,Y,"{0: 19, 1: 4, 2: 14, 3: 9}",Y,"{0: 19, 1: 4, 2: 14, 3: 9}","{(0, 2): 14, (0, 3): 5, (1, 3): 4}",231.9812774658203,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",6.0,7.0,Y,"{0: 27, 1: 6, 2: 20, 3: 13}",Y,"{0: 27, 1: 6, 2: 20, 3: 13}","{(0, 2): 20, (0, 3): 7, (1, 3): 6}",241.99485778808594,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",7.0,4.0,Y,"{0: 15, 1: 11, 2: 7, 3: 19}",Y,"{0: 15, 1: 11, 2: 7, 3: 19}","{(0, 2): 7, (0, 3): 8, (1, 3): 11}",157.1178436279297,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",8.0,2.0,Y,"{0: 14, 1: 8, 2: 10, 3: 12}",Y,"{0: 14, 1: 8, 2: 10, 3: 12}","{(0, 2): 10, (0, 3): 4, (1, 3): 8}",211.95411682128906,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",10.0,6.0,Y,"{0: 28, 1: 10, 2: 16, 3: 22}",Y,"{0: 28, 1: 10, 2: 16, 3: 22}","{(0, 2): 16, (0, 3): 12, (1, 3): 10}",245.09429931640625,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",12.0,9.0,Y,"{0: 30, 1: 21, 2: 12, 3: 39}",Y,"{0: 30, 1: 21, 2: 12, 3: 39}","{(0, 2): 12, (0, 3): 18, (1, 3): 21}",190.97328186035156,3.0,4.0,6.0
1.0,Graph with 4 nodes and 3 edges,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",14.0,2.0,Y,"{0: 20, 1: 14, 2: 16, 3: 18}",Y,"{0: 20, 1: 14, 2: 16, 3: 18}","{(0, 2): 16, (0, 3): 4, (1, 3): 14}",257.9689025878906,3.0,4.0,6.0
