graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0.0,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1], [0, 1, 1, 1, 0, 0], [0, 1, 1, 1, 0, 0]]",12.0,4.0,Y,"{0: 28, 1: 24, 2: 20, 3: 32, 4: 12, 5: 16}",Y,"{0: 28, 1: 24, 2: 20, 3: 32, 4: 12, 5: 16}","{(0, 3): 28, (1, 2): 8, (1, 3): 1, (1, 4): 1, (1, 5): 14, (2, 3): 1, (2, 4): 10, (2, 5): 1, (3, 4): 1, (3, 5): 1}",82.0159912109375,10.0,6.0,20.0
2.0,Graph with 6 nodes and 8 edges,"[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 1], [1, 1, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0]]",5.0,8.0,Y,"{0: 13, 1: 21, 2: 29, 3: 37, 4: 45, 5: 5}",Y,"{0: 13, 1: 21, 2: 29, 3: 37, 4: 45, 5: 5}","{(0, 2): 1, (0, 4): 12, (1, 4): 20, (1, 5): 1, (2, 3): 24, (2, 4): 4, (3, 4): 9, (3, 5): 4}",108.00361633300781,8.0,6.0,16.0
2.0,Graph with 6 nodes and 8 edges,"[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 1], [1, 1, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0]]",7.0,2.0,Y,"{0: 7, 1: 17, 2: 9, 3: 11, 4: 15, 5: 13}",Y,"{0: 7, 1: 17, 2: 9, 3: 11, 4: 15, 5: 13}","{(0, 2): 1, (0, 4): 6, (1, 4): 7, (1, 5): 10, (2, 3): 7, (2, 4): 1, (3, 4): 1, (3, 5): 3}",272.98927307128906,8.0,6.0,16.0
6.0,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 0]]",23.0,4.0,Y,"{0: 23, 1: 39, 2: 31, 3: 27, 4: 35, 5: 43}",Y,"{0: 23, 1: 39, 2: 31, 3: 27, 4: 35, 5: 43}","{(0, 2): 1, (0, 3): 1, (0, 5): 21, (1, 3): 20, (1, 5): 19, (2, 4): 30, (3, 4): 4, (3, 5): 2, (4, 5): 1}",425.8155822753906,9.0,6.0,18.0
7.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",10.0,2.0,Y,"{0: 10, 1: 12, 2: 20, 3: 18, 4: 16, 5: 14}",Y,"{0: 10, 1: 12, 2: 20, 3: 18, 4: 16, 5: 14}","{(0, 1): 6, (0, 2): 2, (0, 3): 1, (0, 5): 1, (1, 4): 5, (1, 5): 1, (2, 3): 17, (2, 5): 1, (4, 5): 11}",322.8187561035156,9.0,6.0,18.0
7.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",16.0,6.0,Y,"{0: 22, 1: 28, 2: 34, 3: 40, 4: 16, 5: 46}",Y,"{0: 22, 1: 28, 2: 34, 3: 40, 4: 16, 5: 46}","{(0, 1): 5, (0, 2): 1, (0, 3): 8, (0, 5): 8, (1, 4): 1, (1, 5): 22, (2, 3): 32, (2, 5): 1, (4, 5): 15}",134.94491577148438,9.0,6.0,18.0
7.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",24.0,4.0,Y,"{0: 36, 1: 40, 2: 24, 3: 28, 4: 32, 5: 44}",Y,"{0: 36, 1: 40, 2: 24, 3: 28, 4: 32, 5: 44}","{(0, 1): 28, (0, 2): 1, (0, 3): 6, (0, 5): 1, (1, 4): 1, (1, 5): 11, (2, 3): 22, (2, 5): 1, (4, 5): 31}",396.0132598876953,9.0,6.0,18.0
8.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0], [0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 1, 1, 0, 0], [1, 0, 1, 0, 0, 0]]",18.0,4.0,Y,"{0: 22, 1: 18, 2: 26, 3: 34, 4: 38, 5: 30}",Y,"{0: 22, 1: 18, 2: 26, 3: 34, 4: 38, 5: 30}","{(0, 4): 1, (0, 5): 21, (1, 2): 16, (1, 4): 2, (2, 4): 1, (2, 5): 9, (3, 4): 34}",282.04917907714844,7.0,6.0,14.0
8.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0], [0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 1, 1, 0, 0], [1, 0, 1, 0, 0, 0]]",18.0,8.0,Y,"{0: 18, 1: 26, 2: 42, 3: 34, 4: 58, 5: 50}",Y,"{0: 18, 1: 26, 2: 42, 3: 34, 4: 58, 5: 50}","{(0, 4): 1, (0, 5): 17, (1, 2): 6, (1, 4): 20, (2, 4): 3, (2, 5): 33, (3, 4): 34}",187.87384033203125,7.0,6.0,14.0
8.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0], [0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 1, 1, 1, 0, 0], [1, 0, 1, 0, 0, 0]]",26.0,6.0,Y,"{0: 26, 1: 38, 2: 44, 3: 50, 4: 56, 5: 32}",Y,"{0: 26, 1: 38, 2: 44, 3: 50, 4: 56, 5: 32}","{(0, 4): 1, (0, 5): 25, (1, 2): 35, (1, 4): 3, (2, 4): 2, (2, 5): 7, (3, 4): 50}",238.18016052246094,7.0,6.0,14.0
10.0,Graph with 6 nodes and 8 edges,"[[0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0], [0, 1, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",27.0,6.0,Y,"{0: 33, 1: 57, 2: 51, 3: 27, 4: 45, 5: 39}",Y,"{0: 33, 1: 57, 2: 51, 3: 27, 4: 45, 5: 39}","{(0, 1): 5, (0, 3): 27, (0, 5): 1, (1, 2): 47, (1, 4): 5, (2, 4): 3, (2, 5): 1, (4, 5): 37}",92.98324584960938,8.0,6.0,16.0
11.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 0, 0], [1, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 1, 0], [0, 1, 0, 1, 0, 1], [0, 0, 1, 0, 1, 0]]",10.0,8.0,Y,"{0: 18, 1: 26, 2: 34, 3: 42, 4: 50, 5: 10}",Y,"{0: 18, 1: 26, 2: 34, 3: 42, 4: 50, 5: 10}","{(0, 1): 4, (0, 2): 13, (0, 3): 1, (1, 3): 1, (1, 4): 21, (2, 3): 20, (2, 5): 1, (3, 4): 20, (4, 5): 9}",159.97886657714844,9.0,6.0,18.0
13.0,Graph with 6 nodes and 8 edges,"[[0, 1, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1], [1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1], [0, 1, 0, 0, 1, 0]]",6.0,4.0,Y,"{0: 26, 1: 10, 2: 6, 3: 22, 4: 14, 5: 18}",Y,"{0: 26, 1: 10, 2: 6, 3: 22, 4: 14, 5: 18}","{(0, 1): 1, (0, 2): 4, (0, 3): 21, (1, 2): 2, (1, 4): 1, (1, 5): 6, (3, 4): 1, (4, 5): 12}",293.97010803222656,8.0,6.0,16.0
13.0,Graph with 6 nodes and 8 edges,"[[0, 1, 1, 1, 0, 0], [1, 0, 1, 0, 1, 1], [1, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1], [0, 1, 0, 0, 1, 0]]",24.0,8.0,Y,"{0: 64, 1: 40, 2: 56, 3: 32, 4: 48, 5: 24}",Y,"{0: 64, 1: 40, 2: 56, 3: 32, 4: 48, 5: 24}","{(0, 1): 19, (0, 2): 37, (0, 3): 8, (1, 2): 19, (1, 4): 1, (1, 5): 1, (3, 4): 24, (4, 5): 23}",639.9154663085938,8.0,6.0,16.0
14.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",6.0,8.0,Y,"{0: 46, 1: 22, 2: 14, 3: 30, 4: 6, 5: 38}",Y,"{0: 46, 1: 22, 2: 14, 3: 30, 4: 6, 5: 38}","{(0, 1): 4, (0, 2): 1, (0, 3): 30, (0, 4): 4, (0, 5): 7, (1, 4): 1, (1, 5): 17, (2, 5): 13, (4, 5): 1}",205.03997802734375,9.0,6.0,18.0
14.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",12.0,6.0,Y,"{0: 42, 1: 24, 2: 12, 3: 36, 4: 18, 5: 30}",Y,"{0: 42, 1: 24, 2: 12, 3: 36, 4: 18, 5: 30}","{(0, 1): 1, (0, 2): 1, (0, 3): 36, (0, 4): 1, (0, 5): 3, (1, 4): 12, (1, 5): 11, (2, 5): 11, (4, 5): 5}",154.01840209960938,9.0,6.0,18.0
14.0,Graph with 6 nodes and 9 edges,"[[0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",23.0,6.0,Y,"{0: 53, 1: 23, 2: 35, 3: 47, 4: 29, 5: 41}",Y,"{0: 53, 1: 23, 2: 35, 3: 47, 4: 29, 5: 41}","{(0, 1): 1, (0, 2): 1, (0, 3): 47, (0, 4): 3, (0, 5): 1, (1, 4): 21, (1, 5): 1, (2, 5): 34, (4, 5): 5}",354.0515899658203,9.0,6.0,18.0
16.0,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 1, 0, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",5.0,2.0,Y,"{0: 15, 1: 13, 2: 11, 3: 9, 4: 7, 5: 5}",Y,"{0: 15, 1: 13, 2: 11, 3: 9, 4: 7, 5: 5}","{(0, 2): 6, (0, 3): 7, (0, 5): 2, (1, 2): 5, (1, 3): 1, (1, 4): 6, (1, 5): 1, (3, 5): 1, (4, 5): 1}",216.96090698242188,9.0,6.0,18.0
