graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
3.0,Graph with 9 nodes and 14 edges,"[[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 1, 1, 0, 0]]",4.0,8.0,Y,"{0: 12, 1: 20, 2: 28, 3: 36, 4: 44, 5: 52, 6: 60, 7: 68, 8: 4}","{(0, 6): 12, (1, 4): 4, (1, 6): 11, (1, 7): 4, (1, 8): 1, (2, 5): 28, (3, 6): 35, (3, 7): 1, (4, 7): 39, (4, 8): 1, (5, 7): 23, (5, 8): 1, (6, 7): 1, (6, 8): 1}",2062.0000000004525
3.0,Graph with 9 nodes and 14 edges,"[[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 1, 1, 0, 0]]",4.0,9.0,Y,"{0: 13, 1: 22, 2: 31, 3: 40, 4: 49, 5: 58, 6: 67, 7: 76, 8: 4}","{(0, 6): 13, (1, 4): 4, (1, 6): 13, (1, 7): 4, (1, 8): 1, (2, 5): 31, (3, 6): 39, (3, 7): 1, (4, 7): 44, (4, 8): 1, (5, 7): 26, (5, 8): 1, (6, 7): 1, (6, 8): 1}",1851.9999999995207
4.0,Graph with 9 nodes and 17 edges,"[[0, 1, 0, 1, 1, 1, 1, 1, 0], [1, 0, 1, 0, 1, 1, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0]]",2.0,8.0,Y,"{0: 10, 1: 66, 2: 2, 3: 58, 4: 50, 5: 34, 6: 42, 7: 26, 8: 18}","{(0, 1): 1, (0, 3): 1, (0, 4): 5, (0, 5): 1, (0, 6): 1, (0, 7): 1, (1, 2): 2, (1, 4): 9, (1, 5): 31, (1, 7): 23, (3, 4): 35, (3, 5): 1, (3, 6): 21, (4, 6): 1, (5, 7): 1, (6, 7): 1, (6, 8): 18}",1628.0000000001849
4.0,Graph with 9 nodes and 17 edges,"[[0, 1, 0, 1, 1, 1, 1, 1, 0], [1, 0, 1, 0, 1, 1, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0]]",3.0,1.0,Y,"{0: 9, 1: 10, 2: 3, 3: 6, 4: 5, 5: 7, 6: 11, 7: 8, 8: 4}","{(0, 1): 2, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 2, (0, 7): 1, (1, 2): 3, (1, 4): 2, (1, 5): 1, (1, 7): 1, (3, 4): 1, (3, 5): 1, (3, 6): 3, (4, 6): 1, (5, 7): 4, (6, 7): 1, (6, 8): 4}",1565.0000000002606
5.0,Graph with 9 nodes and 19 edges,"[[0, 0, 1, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0]]",2.0,5.0,Y,"{0: 7, 1: 2, 2: 42, 3: 37, 4: 22, 5: 27, 6: 17, 7: 12, 8: 32}","{(0, 2): 1, (0, 4): 4, (0, 5): 1, (0, 6): 1, (1, 5): 1, (1, 8): 1, (2, 3): 35, (2, 6): 4, (2, 7): 1, (2, 8): 1, (3, 5): 1, (3, 7): 1, (4, 8): 18, (5, 6): 8, (5, 7): 6, (5, 8): 10, (6, 7): 3, (6, 8): 1, (7, 8): 1}",1513.9999999993493
5.0,Graph with 9 nodes and 19 edges,"[[0, 0, 1, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0]]",2.0,7.0,Y,"{0: 9, 1: 2, 2: 58, 3: 51, 4: 30, 5: 37, 6: 23, 7: 16, 8: 44}","{(0, 2): 1, (0, 4): 6, (0, 5): 1, (0, 6): 1, (1, 5): 1, (1, 8): 1, (2, 3): 49, (2, 6): 6, (2, 7): 1, (2, 8): 1, (3, 5): 1, (3, 7): 1, (4, 8): 24, (5, 6): 10, (5, 7): 8, (5, 8): 16, (6, 7): 5, (6, 8): 1, (7, 8): 1}",1470.0000000003045
5.0,Graph with 9 nodes and 19 edges,"[[0, 0, 1, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0]]",4.0,8.0,Y,"{0: 4, 1: 28, 2: 68, 3: 12, 4: 20, 5: 44, 6: 52, 7: 36, 8: 60}","{(0, 2): 1, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 5): 15, (1, 8): 13, (2, 3): 10, (2, 6): 36, (2, 7): 20, (2, 8): 1, (3, 5): 1, (3, 7): 1, (4, 8): 19, (5, 6): 1, (5, 7): 1, (5, 8): 25, (6, 7): 13, (6, 8): 1, (7, 8): 1}",1475.000000000115
7.0,Graph with 9 nodes and 16 edges,"[[0, 1, 0, 1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0]]",2.0,5.0,Y,"{0: 22, 1: 27, 2: 7, 3: 37, 4: 17, 5: 32, 6: 2, 7: 42, 8: 12}","{(0, 1): 1, (0, 3): 19, (0, 5): 2, (1, 5): 3, (1, 7): 22, (1, 8): 1, (2, 7): 6, (2, 8): 1, (3, 5): 17, (3, 8): 1, (4, 5): 1, (4, 6): 1, (4, 7): 14, (4, 8): 1, (5, 6): 1, (5, 8): 8}",1352.9999999999377
7.0,Graph with 9 nodes and 16 edges,"[[0, 1, 0, 1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0]]",4.0,2.0,Y,"{0: 8, 1: 4, 2: 10, 3: 14, 4: 16, 5: 18, 6: 6, 7: 12, 8: 20}","{(0, 1): 1, (0, 3): 6, (0, 5): 1, (1, 5): 1, (1, 7): 1, (1, 8): 1, (2, 7): 1, (2, 8): 9, (3, 5): 6, (3, 8): 2, (4, 5): 1, (4, 6): 4, (4, 7): 10, (4, 8): 1, (5, 6): 2, (5, 8): 7}",1566.0000000004004
7.0,Graph with 9 nodes and 16 edges,"[[0, 1, 0, 1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 0]]",4.0,4.0,Y,"{0: 12, 1: 4, 2: 16, 3: 24, 4: 28, 5: 32, 6: 8, 7: 20, 8: 36}","{(0, 1): 1, (0, 3): 10, (0, 5): 1, (1, 5): 1, (1, 7): 1, (1, 8): 1, (2, 7): 1, (2, 8): 15, (3, 5): 11, (3, 8): 3, (4, 5): 2, (4, 6): 7, (4, 7): 18, (4, 8): 1, (5, 6): 1, (5, 8): 16}",1308.9999999991164
8.0,Graph with 9 nodes and 18 edges,"[[0, 1, 1, 1, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0, 0], [1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 1, 1, 0, 0]]",2.0,1.0,Y,"{0: 7, 1: 3, 2: 10, 3: 6, 4: 2, 5: 9, 6: 8, 7: 4, 8: 5}","{(0, 1): 1, (0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 6): 1, (0, 7): 1, (0, 8): 1, (1, 3): 1, (1, 8): 1, (2, 5): 7, (2, 6): 2, (3, 4): 1, (3, 5): 1, (3, 6): 1, (3, 8): 1, (5, 8): 1, (6, 7): 3, (6, 8): 1}",1390.0000000006685
8.0,Graph with 9 nodes and 18 edges,"[[0, 1, 1, 1, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 1, 0, 0], [1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 1, 0, 1, 1, 0, 0]]",4.0,8.0,Y,"{0: 52, 1: 36, 2: 28, 3: 68, 4: 20, 5: 12, 6: 60, 7: 4, 8: 44}","{(0, 1): 17, (0, 2): 1, (0, 3): 30, (0, 4): 1, (0, 6): 1, (0, 7): 1, (0, 8): 1, (1, 3): 7, (1, 8): 12, (2, 5): 1, (2, 6): 26, (3, 4): 19, (3, 5): 10, (3, 6): 1, (3, 8): 1, (5, 8): 1, (6, 7): 3, (6, 8): 29}",1391.9999999991717
9.0,Graph with 9 nodes and 16 edges,"[[0, 1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 1, 0, 1, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 0, 0, 0, 0]]",3.0,3.0,Y,"{0: 21, 1: 18, 2: 3, 3: 9, 4: 6, 5: 15, 6: 24, 7: 12, 8: 27}","{(0, 1): 1, (0, 3): 1, (0, 5): 1, (0, 6): 7, (0, 8): 10, (1, 2): 1, (1, 7): 4, (1, 8): 12, (2, 6): 1, (2, 8): 1, (3, 4): 1, (3, 7): 7, (4, 6): 1, (4, 8): 4, (5, 6): 13, (6, 7): 1}",1478.0000000005343
9.0,Graph with 9 nodes and 16 edges,"[[0, 1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 1, 0, 1, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 1, 0, 0, 0, 0]]",4.0,7.0,Y,"{0: 53, 1: 18, 2: 4, 3: 46, 4: 39, 5: 60, 6: 32, 7: 25, 8: 11}","{(0, 1): 8, (0, 3): 1, (0, 5): 42, (0, 6): 1, (0, 8): 1, (1, 2): 2, (1, 7): 3, (1, 8): 5, (2, 6): 1, (2, 8): 1, (3, 4): 26, (3, 7): 19, (4, 6): 9, (4, 8): 4, (5, 6): 18, (6, 7): 3}",690.9999999997751
10.0,Graph with 9 nodes and 18 edges,"[[0, 0, 0, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 1, 0, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0]]",3.0,7.0,Y,"{0: 10, 1: 3, 2: 59, 3: 52, 4: 45, 5: 38, 6: 24, 7: 31, 8: 17}","{(0, 3): 1, (0, 4): 7, (0, 7): 1, (0, 8): 1, (1, 5): 1, (1, 7): 1, (1, 8): 1, (2, 3): 26, (2, 4): 31, (2, 8): 1, (3, 5): 23, (3, 7): 1, (4, 5): 1, (4, 7): 1, (4, 8): 4, (5, 7): 12, (6, 7): 14, (6, 8): 9}",1625.9999999999054
10.0,Graph with 9 nodes and 18 edges,"[[0, 0, 0, 1, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 1, 0, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0]]",4.0,8.0,Y,"{0: 4, 1: 68, 2: 60, 3: 52, 4: 12, 5: 44, 6: 20, 7: 28, 8: 36}","{(0, 3): 1, (0, 4): 1, (0, 7): 1, (0, 8): 1, (1, 5): 41, (1, 7): 23, (1, 8): 4, (2, 3): 49, (2, 4): 4, (2, 8): 7, (3, 5): 1, (3, 7): 1, (4, 5): 1, (4, 7): 1, (4, 8): 5, (5, 7): 1, (6, 7): 1, (6, 8): 19}",1455.9999999992356
11.0,Graph with 9 nodes and 18 edges,"[[0, 0, 1, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 1, 0, 0, 1, 0]]",2.0,3.0,Y,"{0: 5, 1: 26, 2: 20, 3: 2, 4: 8, 5: 23, 6: 17, 7: 11, 8: 14}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 6): 1, (0, 7): 1, (1, 4): 1, (1, 5): 10, (1, 6): 14, (1, 7): 1, (2, 4): 1, (2, 5): 12, (2, 7): 1, (2, 8): 5, (3, 4): 1, (4, 5): 1, (4, 6): 2, (4, 8): 1, (7, 8): 8}",1521.9999999995794
