graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
0.0,Graph with 9 nodes and 19 edges,"[[0, 0, 1, 1, 0, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0, 0, 0]]",3.0,4.0,Y,"{0: 7, 1: 27, 2: 15, 3: 35, 4: 23, 5: 31, 6: 11, 7: 19, 8: 3}","{(0, 2): 1, (0, 3): 5, (0, 7): 1, (1, 3): 1, (1, 4): 14, (1, 5): 10, (1, 7): 1, (2, 3): 1, (2, 5): 12, (2, 7): 1, (3, 4): 1, (3, 5): 6, (3, 6): 3, (3, 7): 16, (3, 8): 1, (4, 6): 6, (4, 8): 1, (5, 6): 1, (5, 8): 1}",1821.0000000000725
0.0,Graph with 9 nodes and 19 edges,"[[0, 0, 1, 1, 0, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1, 0, 1, 0], [1, 0, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0, 0, 0]]",4.0,8.0,Y,"{0: 36, 1: 60, 2: 52, 3: 68, 4: 12, 5: 44, 6: 4, 7: 28, 8: 20}","{(0, 2): 13, (0, 3): 19, (0, 7): 4, (1, 3): 5, (1, 4): 9, (1, 5): 28, (1, 7): 18, (2, 3): 31, (2, 5): 3, (2, 7): 5, (3, 4): 1, (3, 5): 1, (3, 6): 1, (3, 7): 1, (3, 8): 9, (4, 6): 1, (4, 8): 1, (5, 6): 2, (5, 8): 10}",807.9999999996978
1.0,Graph with 9 nodes and 20 edges,"[[0, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 1, 1, 0, 0, 0, 1], [1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 1, 1, 1, 0, 0, 0]]",2.0,2.0,Y,"{0: 14, 1: 6, 2: 8, 3: 16, 4: 18, 5: 12, 6: 10, 7: 2, 8: 4}","{(0, 1): 1, (0, 3): 9, (0, 4): 1, (0, 5): 1, (0, 6): 1, (0, 8): 1, (1, 3): 1, (1, 4): 4, (2, 5): 6, (2, 6): 1, (2, 7): 1, (3, 4): 3, (3, 5): 1, (3, 6): 1, (3, 8): 1, (4, 5): 3, (4, 6): 6, (4, 8): 1, (5, 8): 1, (6, 7): 1}",1780.0000000001148
1.0,Graph with 9 nodes and 20 edges,"[[0, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 1, 0, 1], [1, 1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 1, 1, 0, 0, 0, 1], [1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 1, 0, 0], [1, 0, 0, 1, 1, 1, 0, 0, 0]]",2.0,9.0,Y,"{0: 29, 1: 20, 2: 11, 3: 74, 4: 38, 5: 56, 6: 47, 7: 2, 8: 65}","{(0, 1): 1, (0, 3): 1, (0, 4): 1, (0, 5): 24, (0, 6): 1, (0, 8): 1, (1, 3): 18, (1, 4): 1, (2, 5): 9, (2, 6): 1, (2, 7): 1, (3, 4): 1, (3, 5): 1, (3, 6): 43, (3, 8): 10, (4, 5): 1, (4, 6): 1, (4, 8): 33, (5, 8): 21, (6, 7): 1}",1746.9999999999432
2.0,Graph with 9 nodes and 16 edges,"[[0, 0, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 1, 0, 0]]",2.0,3.0,Y,"{0: 5, 1: 26, 2: 2, 3: 23, 4: 20, 5: 14, 6: 17, 7: 8, 8: 11}","{(0, 3): 2, (0, 5): 1, (0, 6): 1, (0, 7): 1, (1, 4): 17, (1, 7): 1, (1, 8): 8, (2, 5): 1, (2, 7): 1, (3, 4): 1, (3, 5): 12, (3, 6): 8, (4, 6): 1, (4, 7): 1, (6, 7): 4, (6, 8): 3}",1607.000000000358
2.0,Graph with 9 nodes and 16 edges,"[[0, 0, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 1, 0, 0]]",2.0,5.0,Y,"{0: 7, 1: 42, 2: 2, 3: 37, 4: 32, 5: 22, 6: 27, 7: 12, 8: 17}","{(0, 3): 4, (0, 5): 1, (0, 6): 1, (0, 7): 1, (1, 4): 29, (1, 7): 1, (1, 8): 12, (2, 5): 1, (2, 7): 1, (3, 4): 1, (3, 5): 20, (3, 6): 12, (4, 6): 1, (4, 7): 1, (6, 7): 8, (6, 8): 5}",1651.9999999999868
2.0,Graph with 9 nodes and 16 edges,"[[0, 0, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0], [1, 0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 1, 0, 0]]",3.0,8.0,Y,"{0: 11, 1: 3, 2: 67, 3: 59, 4: 51, 5: 43, 6: 27, 7: 35, 8: 19}","{(0, 3): 8, (0, 5): 1, (0, 6): 1, (0, 7): 1, (1, 4): 1, (1, 7): 1, (1, 8): 1, (2, 5): 40, (2, 7): 26, (3, 4): 43, (3, 5): 1, (3, 6): 6, (4, 6): 1, (4, 7): 5, (6, 7): 1, (6, 8): 18}",1476.0000000002549
3.0,Graph with 9 nodes and 14 edges,"[[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 1, 1, 0, 0]]",2.0,8.0,Y,"{0: 26, 1: 50, 2: 18, 3: 2, 4: 34, 5: 58, 6: 42, 7: 66, 8: 10}","{(0, 6): 26, (1, 4): 31, (1, 6): 1, (1, 7): 17, (1, 8): 1, (2, 5): 18, (3, 6): 1, (3, 7): 1, (4, 7): 2, (4, 8): 1, (5, 7): 33, (5, 8): 7, (6, 7): 13, (6, 8): 1}",2989.999999999604
3.0,Graph with 9 nodes and 14 edges,"[[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 1, 1, 0, 0]]",3.0,8.0,Y,"{0: 27, 1: 35, 2: 11, 3: 3, 4: 19, 5: 51, 6: 59, 7: 67, 8: 43}","{(0, 6): 27, (1, 4): 1, (1, 6): 6, (1, 7): 1, (1, 8): 26, (2, 5): 11, (3, 6): 2, (3, 7): 1, (4, 7): 17, (4, 8): 1, (5, 7): 39, (5, 8): 1, (6, 7): 9, (6, 8): 14}",1738.0000000004613
3.0,Graph with 9 nodes and 14 edges,"[[0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 1, 0, 0], [0, 1, 0, 0, 1, 1, 1, 0, 0]]",4.0,2.0,Y,"{0: 6, 1: 18, 2: 16, 3: 4, 4: 14, 5: 20, 6: 12, 7: 8, 8: 10}","{(0, 6): 6, (1, 4): 11, (1, 6): 1, (1, 7): 1, (1, 8): 5, (2, 5): 16, (3, 6): 2, (3, 7): 2, (4, 7): 1, (4, 8): 2, (5, 7): 3, (5, 8): 1, (6, 7): 1, (6, 8): 2}",669.9999999995043
