,Unnamed: 0,graph_num,optimal,total_runtime,qpu_access_time,sample
10,10,57,Y,2995331,129418,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 1, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 1, 'T54': 0, 'T55': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 1, 'y60': 1, 'y61': 1, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0}"
11,11,60,Y,2999118,158507,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 1, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 0, 'y00': 0, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0}"
12,12,70,Y,2997790,176112,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 1, 'T53': 0, 'T54': 0, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 1, 'y62': 0, 'y63': 0}"
13,13,88,Y,2989026,146758,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 1, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y73': 0, 'y80': 1, 'y81': 0, 'y82': 0, 'y83': 0}"
14,14,91,Y,2994827,188215,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 1, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 1, 'T53': 0, 'T54': 0, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 1, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0}"
15,15,98,Y,3000793,82685,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 0, 'T05': 1, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 1, 'T54': 0, 'T55': 0, 'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0}"
16,16,109,N,2992640,191534,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 1, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T35': 0, 'T40': 1, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 1, 'T53': 0, 'T54': 0, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y100': 0, 'y101': 0, 'y102': 0, 'y103': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 1, 'y71': 1, 'y72': 1, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0, 'y90': 0, 'y91': 0, 'y92': 0, 'y93': 0}"
17,17,110,N,2988765,163894,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 1, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 1, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y100': 1, 'y101': 0, 'y102': 0, 'y103': 0, 'y11': 0, 'y110': 0, 'y111': 0, 'y112': 0, 'y113': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y73': 0, 'y80': 1, 'y81': 0, 'y82': 1, 'y83': 0, 'y90': 1, 'y91': 0, 'y92': 0, 'y93': 0}"
18,18,114,Y,2982652,146637,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T25': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 1, 'y63': 0}"
19,19,115,Y,2994123,155301,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y73': 0}"
20,20,130,Y,2990996,199648,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0, 'y80': 1, 'y81': 1, 'y82': 0, 'y83': 0}"
21,21,133,N,2988711,31088,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 1, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 1, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y63': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y73': 0, 'y80': 1, 'y81': 0, 'y82': 0, 'y83': 0, 'y90': 1, 'y91': 0, 'y92': 0, 'y93': 0}"
22,22,140,Y,2989001,125878,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T25': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 1, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0, 'y90': 1, 'y91': 1, 'y92': 0, 'y93': 0}"
23,23,148,N,2991909,129554,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 1, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 1, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 1, 'y73': 0}"
