,optimal,total_runtime,qpu_access_time,sample
10,Y,2990913,147807,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 1, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 0}"
11,Y,2995274,100417,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 1, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y60': 0, 'y61': 0, 'y62': 0}"
12,Y,2990499,152638,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 1, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 1, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y60': 0, 'y61': 1, 'y62': 0}"
13,Y,2992405,77136,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 1, 'y63': 0}"
14,Y,2984064,208656,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 1, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 1, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0}"
15,Y,2995850,166564,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 1, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 1, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0}"
16,Y,2986873,143691,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0}"
17,Y,2982786,174813,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 1, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 1, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0}"
18,Y,2984024,171831,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 0}"
19,Y,2997107,148913,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
20,Y,2992590,157815,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 0}"
21,Y,2987239,195619,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 1, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
22,Y,2987078,148134,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 1}"
23,Y,2988922,156835,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 1, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 1, 'y53': 0}"
24,Y,2986604,125709,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y60': 0, 'y61': 0, 'y62': 0}"
25,Y,2987738,152780,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y60': 1, 'y61': 1, 'y62': 0}"
26,Y,2998231,163039,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0}"
27,Y,2990461,143217,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 1, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0}"
28,Y,2987371,47815,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 1, 'T14': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 1, 'y40': 0, 'y41': 1, 'y42': 0}"
