,optimal,total_runtime,qpu_access_time,sample
0,Y,2993177,84848,"{'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0}"
1,Y,2999288,104843,"{'y00': 0, 'y01': 0, 'y02': 1, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0}"
2,Y,2982965,91295,"{'y00': 1, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 1, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0}"
3,Y,2986211,84814,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0}"
4,Y,2995727,87500,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 1, 'y40': 0, 'y41': 1, 'y42': 0}"
5,Y,2998337,18250,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 1, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0}"
6,Y,2995728,68178,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0}"
7,Y,2997308,89285,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
8,Y,2997560,89601,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y50': 0, 'y51': 1, 'y52': 0}"
9,Y,2994904,112563,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y53': 0}"
