,optimal,total_runtime,qpu_access_time,sample
14,Y,2997190,128142,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 1, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0}"
15,Y,2993996,99178,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0}"
16,Y,2996830,102461,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 1, 'y30': 1, 'y31': 0, 'y32': 0}"
17,Y,2995335,110735,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'y00': 0, 'y01': 1, 'y02': 1, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0}"
18,Y,2983722,18997,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'y00': 0, 'y01': 1, 'y10': 0, 'y11': 0, 'y20': 0, 'y21': 0, 'y30': 0, 'y31': 0, 'y40': 0, 'y41': 0}"
19,Y,2989240,108706,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0}"
20,Y,2982523,106027,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 1}"
21,Y,2980484,151213,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0}"
22,Y,2982808,132251,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 1, 'y42': 0}"
23,Y,2989005,138716,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 1, 'y43': 0}"
24,Y,2984635,157918,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
25,Y,2990865,112779,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
26,Y,2984880,120767,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 0}"
